  UID   PID  PPID   C STIME   TTY           TIME CMD
  242   360     1   0  8May23 ??         1:40.46 /usr/sbin/distnoted agent
   89   375     1   0  8May23 ??         1:40.38 /usr/sbin/distnoted agent
   74   379     1   0  8May23 ??       371:43.28 /usr/local/mysql/bin/mysqld --user=_mysql --basedir=/usr/local/mysql --datadir=/usr/local/mysql/data --plugin-dir=/usr/local/mysql/lib/plugin --log-error=/usr/local/mysql/data/mysqld.local.err --pid-file=/usr/local/mysql/data/mysqld.local.pid --keyring-file-data=/usr/local/mysql/keyring/keyring --early-plugin-load=keyring_file=keyring_file.so
    0   488    86   0  8May23 ??         5:40.55 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
  235   518     1   0  8May23 ??         1:40.84 /usr/sbin/distnoted agent
    0   558     1   0  8May23 ??         0:05.42 /System/Library/PrivateFrameworks/Heimdal.framework/Helpers/kdc
  273   570     1   0  8May23 ??         1:39.47 /usr/sbin/distnoted agent
  441   579     1   0  8May23 ??        12:55.90 /usr/libexec/rosetta/oahd
    0   629     1   0  8May23 ??         1:06.80 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
    0   631     1   0  8May23 ??         0:00.51 /usr/libexec/securityd_service
  501   632     1   0  8May23 ??        37:17.90 /usr/sbin/distnoted agent
  501   640     1   0  8May23 ??        41:01.92 /usr/sbin/cfprefsd agent
  501   667     1   0  8May23 ??        16:15.87 /usr/libexec/UserEventAgent (Aqua)
  501   673     1   0  8May23 ??        95:13.86 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  501   675     1   0  8May23 ??        11:03.87 /usr/libexec/lsd
  501   680     1   0  8May23 ??        14:19.37 /System/Library/CoreServices/lockoutagent
  501   681     1   0  8May23 ??        42:39.55 /usr/libexec/nsurlsessiond
  501   682     1   0  8May23 ??         8:18.85 /usr/sbin/usernoted
  501   685     1   0  8May23 ??        18:21.54 /usr/libexec/rapportd
  501   689     1   0  8May23 ??         0:45.01 /usr/libexec/pboard
  501   696     1   0  8May23 ??        42:16.96 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  501   712     1   0  8May23 ??        64:49.89 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  501   717     1   0  8May23 ??        13:20.10 /usr/libexec/ContinuityCaptureAgent
  501   722     1   0  8May23 ??         5:50.57 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  268   741     1   0  8May23 ??        19:59.20 /usr/libexec/nearbyd
  247   743     1   0  8May23 ??         1:39.07 /usr/sbin/distnoted agent
  501   744     1   0  8May23 ??        11:22.23 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  501   745     1   0  8May23 ??       102:55.23 /usr/libexec/sharingd
  501   748     1   0 17Jan24 ??         0:32.18 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
  501   749     1   0  8May23 ??         1:28.38 /System/Library/CoreServices/sharedfilelistd
  501   750     1   0  8May23 ??        17:12.97 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
  501   765     1   0  8May23 ??       283:56.85 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  260   785     1   0  8May23 ??         1:38.77 /usr/sbin/distnoted agent
  501   817     1   0  8May23 ??        49:57.03 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
    0   818     1   0  8May23 ??         1:53.43 /usr/sbin/filecoordinationd
  501   819     1   0  8May23 ??        59:53.82 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
   55   821     1   0  8May23 ??         1:37.64 /usr/sbin/distnoted agent
  501   848     1   0  8May23 ??        14:14.15 /usr/libexec/searchpartyuseragent
  501   872     1   0  8May23 ??        15:08.89 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  501   873     1   0  8May23 ??         0:16.26 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  501   881     1   0  8May23 ??         2:07.21 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  501   883     1   0  8May23 ??         0:00.70 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetPeople.appex/Contents/MacOS/FindMyWidgetPeople
  501   894     1   0  8May23 ??         2:59.19 /System/Cryptexes/App/usr/libexec/com.apple.Safari.History
    0   901     1   0  8May23 ??         0:00.18 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
